Status,VendorName,BillVendorId,M2MVendorID,CurrentAccountNumber,Applied,Error,Note
Unmatched,360 TRAINING,,360,,,,No Bill.com vendor with a matching name.
Unmatched,3CHEM,,3CHEM,,,,No Bill.com vendor with a matching name.
Unmatched,5SSUPPLIES,,5SSup,,,,No Bill.com vendor with a matching name.
Unmatched,8020.COM,,8020,,,,No Bill.com vendor with a matching name.
Unmatched,ABSCO INDUSTRIAL WEIGHING & EQUIP,,ABSCO,,,,No Bill.com vendor with a matching name.
Matched,"Abstract Computer Solutions, LLC",00901KYAOVNODPN8vd0k,ACSLLC,,,,
Unmatched,ACCUSIZE INDUSTRIAL TOOLS,,ACCUSZ,,,,No Bill.com vendor with a matching name.
Unmatched,ACCUSTREAM,,AccuS,,,,No Bill.com vendor with a matching name.
Unmatched,ACE HARDWARE,,ACEHA,,,,No Bill.com vendor with a matching name.
Unmatched,ACES SYSTEMS DIVISION,,ACES,,,,No Bill.com vendor with a matching name.
Matched,"Acroturn Industries USA, LLC",00901CXNUZQMORO8vda1,AIU,,,,
Matched,Adrian L. Little,00901KZEBCIWRVG8vd0m,ALITT,,,,
Matched,Adtec II Tampa,00901RZUKRAGBGK8vd0n,ADTEC,,,,
Matched,Advance Auto Parts,00901AQKFKTSKZS8vd7q,AAP,,,,
AlreadySet,Advanced Powder Coating LLC,00901NOSIIFWODX8vd83,AdvPC,224644,,,Existing accountNumber '224644' kept (would have set 'AdvPC').
Unmatched,AEROBASE GROUP,,AEROBA,,,,No Bill.com vendor with a matching name.
Unmatched,ALL VALLEY HOSE,,ALLVAL,,,,No Bill.com vendor with a matching name.
Unmatched,ALLPRORIGGING.COM,,APRIG,,,,No Bill.com vendor with a matching name.
Unmatched,ALRO METAL,,AM,,,,No Bill.com vendor with a matching name.
Matched,Alro Plastics,00901OHSWHPUZSP8vdbs,ALROP,,,,
Matched,Amazon,00901PYBZGFQVCF8vd0t,AMAZ,,,,
AlreadySet,Amazon Hose and Rubber Company,00901JXIYFQNPXX8vd0u,AHRC,JETSO,,,Existing accountNumber 'JETSO' kept (would have set 'AHRC').
Matched,American Machinery Group,00901MEXYTQQZVM8vd53,AWP,,,,
AlreadySet,"American Metals Supply, Inc.",00901NLQTYKQEZE8vddm,AMI,INV100436,,,Existing accountNumber 'INV100436' kept (would have set 'AMI').
Unmatched,AMERICAN WELDING & GAS,,AWG,,,,No Bill.com vendor with a matching name.
Unmatched,AMERIGAS,,AMGAS,,,,No Bill.com vendor with a matching name.
Matched,AMT CNC Fabrication,00901OQEZUBAIMR8vd0q,AMTFAB,,,,
Matched,Applied Technical Services,00901QKBSCUDLUX8vd9o,ATS,,,,
Matched,APV Manufacturing & Engineering,00901FJBPWXHLZI8vd0s,APV,,,,
Matched,ASAP Semiconductors,00901VWMKHGRWBG8vdbp,ASAP,,,,
Unmatched,ASCO MACHINE,,ASCO,,,,No Bill.com vendor with a matching name.
Unmatched,AUGULETTO CUSTOM UPHOLSTERY INC.,,AUGULE,,,,No Bill.com vendor with a matching name.
Unmatched,AUTOZONE,,AZONE,,,,No Bill.com vendor with a matching name.
Unmatched,"BAD BOY BLASTERS, INC",,BadBoy,,,,No Bill.com vendor with a matching name.
Matched,Badger Welding,00901NGPKJIAYVD8vdet,BADGER,,,,
Unmatched,BAILEIGH INDUSTRIAL HOLDINGSLLC,,Bail,,,,No Bill.com vendor with a matching name.
AlreadySet,Barton International,00901HGXVULKMMU8vdb8,Barton,1449054,,,Existing accountNumber '1449054' kept (would have set 'Barton').
Matched,Blade Serpent,00901VVDLDFEQTL8vd12,BLADES,,,,
Unmatched,BOEING DISTRIBUTION,,Boeing,,,,No Bill.com vendor with a matching name.
Unmatched,BOLTDEPOT.COM,,BLTDPT,,,,No Bill.com vendor with a matching name.
Unmatched,BOOTHFILLTERSTORE.COM,,booth,,,,No Bill.com vendor with a matching name.
Matched,Boss Laser LLC,00901LANFIIQOEY8vd76,boss,,,,
AlreadySet,Braddock Metallurgical Inc,00901ELBFEMCWQD8vd0y,BRADDO,3121,,,Existing accountNumber '3121' kept (would have set 'BRADDO').
Matched,Brevard Rigging Supply,00901MKASZNUFUO8vd13,BRS,,,,
AlreadySet,Brown-Campbell Company,00901GTYOIGEXYT8vddh,BCC,S 1931408,,,Existing accountNumber 'S 1931408' kept (would have set 'BCC').
Unmatched,BRP MANUFACTURING COMPANY,,BRPMAN,,,,No Bill.com vendor with a matching name.
Unmatched,CABLE TIES AND MORE,,CTAM,,,,No Bill.com vendor with a matching name.
Unmatched,CABLEMASTER,,CM,,,,No Bill.com vendor with a matching name.
Unmatched,CAMCODE,,CAMCOD,,,,No Bill.com vendor with a matching name.
AlreadySet,"Canon Financial Services, Inc.",00901PEZTPSOINL8vde3,CANON,35555899,,,Existing accountNumber '35555899' kept (would have set 'CANON').
Matched,Capital Machine,00901JLYQBFESWO8vd17,CAPMAC,,,,
Unmatched,CARBIDE & DIAMOND TOOLING,,cdtool,,,,No Bill.com vendor with a matching name.
Matched,Carr Lane,00901MIFLDJSHSD8vd18,CL,,,,
Unmatched,"CASTER CONCEPTS, INC.",,CCI,,,,No Bill.com vendor with a matching name.
Unmatched,CASTER DEPOT,,Cast,,,,No Bill.com vendor with a matching name.
AlreadySet,Caster Technology Corporation,00901SQPALLMJYC8vddo,CASTEC,4128160,,,Existing accountNumber '4128160' kept (would have set 'CASTEC').
Unmatched,CDTOOLING.COM,,CDT,,,,No Bill.com vendor with a matching name.
Matched,"Celtic Manufacturing, LLC",00901TUUVCETKZN8vddw,Celtic,,,,
Unmatched,CERTIFIED METAL FINISHING INC.,,CMF,,,,No Bill.com vendor with a matching name.
