Status,VendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,360 Training,00901SGZLFZBAYQ8vgj9,360,,,,
Matched,3Chem Corporation,00901GNZBBRSSGU8vgja,3CHEM,,,,
Unmatched,5SSUPPLIES,,5SSup,,,,No Bill.com vendor with a matching name.
Unmatched,8020.COM,,8020,,,,No Bill.com vendor with a matching name.
Unmatched,ABSCO INDUSTRIAL WEIGHING & EQUIP,,ABSCO,,,,No Bill.com vendor with a matching name.
Matched,"Abstract Computer Solutions, LLC",00901KYAOVNODPN8vd0k,ACSLLC,,,,
Unmatched,ACCUSIZE INDUSTRIAL TOOLS,,ACCUSZ,,,,No Bill.com vendor with a matching name.
Unmatched,ACCUSTREAM,,AccuS,,,,No Bill.com vendor with a matching name.
Matched,Ace Hardware,00901ATYGGVDXAD8vgjp,ACEHA,,,,
Matched,Aces Systems Division,00901VFTGATHNPU8vgjq,ACES,,,,
Matched,"Acroturn Industries USA, LLC",00901CXNUZQMORO8vda1,AIU,,,,
Matched,Adrian L. Little,00901KZEBCIWRVG8vd0m,ALITT,,,,
Matched,Adtec II Tampa,00901RZUKRAGBGK8vd0n,ADTEC,,,,
Matched,Advance Auto Parts,00901AQKFKTSKZS8vd7q,AAP,,,,
Matched,Advanced Powder Coating LLC,00901NOSIIFWODX8vd83,AdvPC,,,,
Unmatched,AEROBASE GROUP,,AEROBA,,,,No Bill.com vendor with a matching name.
Unmatched,ALL VALLEY HOSE,,ALLVAL,,,,No Bill.com vendor with a matching name.
Unmatched,ALLPRORIGGING.COM,,APRIG,,,,No Bill.com vendor with a matching name.
Unmatched,ALRO METAL,,AM,,,,No Bill.com vendor with a matching name.
Matched,Alro Plastics,00901OHSWHPUZSP8vdbs,ALROP,,,,
Matched,Amazon,00901PYBZGFQVCF8vd0t,AMAZ,,,,
Matched,Amazon Hose and Rubber Company,00901JXIYFQNPXX8vd0u,AHRC,,,,
Matched,American Machinery Group,00901MEXYTQQZVM8vd53,AWP,,,,
Matched,"American Metals Supply, Inc.",00901NLQTYKQEZE8vddm,AMI,,,,
Unmatched,AMERICAN WELDING & GAS,,AWG,,,,No Bill.com vendor with a matching name.
Unmatched,AMERIGAS,,AMGAS,,,,No Bill.com vendor with a matching name.
Matched,AMT CNC Fabrication,00901OQEZUBAIMR8vd0q,AMTFAB,,,,
Matched,Applied Technical Services,00901QKBSCUDLUX8vd9o,ATS,,,,
Matched,APV Manufacturing & Engineering,00901FJBPWXHLZI8vd0s,APV,,,,
Matched,ASAP Semiconductors,00901VWMKHGRWBG8vdbp,ASAP,,,,
Unmatched,ASCO MACHINE,,ASCO,,,,No Bill.com vendor with a matching name.
Unmatched,AUGULETTO CUSTOM UPHOLSTERY INC.,,AUGULE,,,,No Bill.com vendor with a matching name.
Matched,AutoZone,00901IJELZFFFNT8vglr,AZONE,,,,
Matched,Bad Boy Blasters,00901HWFHZILULG8vglx,BadBoy,,,,
Matched,Badger Welding,00901NGPKJIAYVD8vdet,BADGER,,,,
Unmatched,BAILEIGH INDUSTRIAL HOLDINGSLLC,,Bail,,,,No Bill.com vendor with a matching name.
Matched,Barton International,00901HGXVULKMMU8vdb8,Barton,,,,
Matched,Blade Serpent,00901VVDLDFEQTL8vd12,BLADES,,,,
Matched,Boeing Distribution,00901BLGCZPMPOG8vgll,Boeing,,,,
Matched,Boltdepot.com,00901CLCCRMKKYW8vglm,BLTDPT,,,,
Unmatched,BOOTHFILLTERSTORE.COM,,booth,,,,No Bill.com vendor with a matching name.
Matched,Boss Laser LLC,00901LANFIIQOEY8vd76,boss,,,,
Matched,Braddock Metallurgical Inc,00901ELBFEMCWQD8vd0y,BRADDO,,,,
Matched,Brevard Rigging Supply,00901MKASZNUFUO8vd13,BRS,,,,
Matched,Brown-Campbell Company,00901GTYOIGEXYT8vddh,BCC,,,,
Unmatched,BRP MANUFACTURING COMPANY,,BRPMAN,,,,No Bill.com vendor with a matching name.
Unmatched,CABLE TIES AND MORE,,CTAM,,,,No Bill.com vendor with a matching name.
Unmatched,CABLEMASTER,,CM,,,,No Bill.com vendor with a matching name.
Unmatched,CAMCODE,,CAMCOD,,,,No Bill.com vendor with a matching name.
Matched,"Canon Financial Services, Inc.",00901PEZTPSOINL8vde3,CANON,,,,
Matched,Capital Machine,00901JLYQBFESWO8vd17,CAPMAC,,,,
Unmatched,CARBIDE & DIAMOND TOOLING,,cdtool,,,,No Bill.com vendor with a matching name.
Matched,Carr Lane,00901MIFLDJSHSD8vd18,CL,,,,
Unmatched,"CASTER CONCEPTS, INC.",,CCI,,,,No Bill.com vendor with a matching name.
Unmatched,CASTER DEPOT,,Cast,,,,No Bill.com vendor with a matching name.
Matched,Caster Technology Corporation,00901SQPALLMJYC8vddo,CASTEC,,,,
Unmatched,CDTOOLING.COM,,CDT,,,,No Bill.com vendor with a matching name.
Matched,"Celtic Manufacturing, LLC",00901TUUVCETKZN8vddw,Celtic,,,,
Unmatched,CERTIFIED METAL FINISHING INC.,,CMF,,,,No Bill.com vendor with a matching name.
Unmatched,CERTIFIED SLING & SUPPLY,,CSling,,,,No Bill.com vendor with a matching name.
Matched,Chatham Steel,00901CSYDHXKFRB8vdd0,CSTL,,,,
Matched,"CIH Support, LLC",00901IIMSJAWOIN8vd15,CIHSup,,,,
Matched,Cintas Corporation,00901SMPHGPPSKG8vddt,CINTAS,,,,
Unmatched,CITRUS SAND BLAST,,CITRUS,,,,No Bill.com vendor with a matching name.
Matched,Competitive Metals,00901RCBGZQMQWA8vghm,COMPME,,,,
Unmatched,CRATERS & FREIGHTERS OF ORLANDO,,CF,,,,No Bill.com vendor with a matching name.
Matched,Criterion Calibration Services,00901RWKSFHPVLQ8vdd3,CRITER,,,,
Matched,Crystal Springs,00901HNFDTTJPAN8vdag,CRYSPR,,,,
Matched,CSG Parts,00901KVHBAVBHOZ8vd1a,CSG,,,,
Unmatched,CYBERWELD.COM,,CYBW,,,,No Bill.com vendor with a matching name.
Unmatched,DAKE CORPORTATION,,Dake,,,,No Bill.com vendor with a matching name.
Matched,Direct Metals,00901ZYMYRXADVI8vgdv,DM,,,,
Matched,DJ Fabrication & Welding,00901ZADUEPVYFP8vd1d,DJ,,,,
Unmatched,DKHARDWARE,,DKH,,,,No Bill.com vendor with a matching name.
Unmatched,DOUDNEY SHEET METAL WORKS,,DOUDSM,,,,No Bill.com vendor with a matching name.
Matched,Dutton-Lainson Company,00901VUNSXWRLVE8vd19,DUTTON,,,,
Unmatched,DYNAMIC NDT,,DYNNDT,,,,No Bill.com vendor with a matching name.
Matched,Eagle National Supply,00901FGXARKCBCL8vgdl,Eagle,,,,
Unmatched,EAGLE QUALITY COMPONENTS,,EQC,,,,No Bill.com vendor with a matching name.
Unmatched,EARL K. WOOD ORANGE CTY TAX COLLECT,,TAXCOL,,,,No Bill.com vendor with a matching name.
Unmatched,EARL M JORGENSEN COMPANY,,emj,,,,No Bill.com vendor with a matching name.
Matched,Eastern Metal Supply,00901VYSSCSJLGA8vder,EMS,,,,
Matched,EasySoft Corporation,00901QEOINDJIJT8vge3,ESC,,,,
Unmatched,EBAY,,EBAY,,,,No Bill.com vendor with a matching name.
Unmatched,ELECTRIC AUTOMATION NETWORK,,ELEAUT,,,,No Bill.com vendor with a matching name.
Unmatched,ELECTRIC BARGAIN STORE,,EBS,,,,No Bill.com vendor with a matching name.
Matched,EMF Engineered Components,00901PJXUMJDQMD8vd56,EMF,,,,
Matched,Empire Abrasives,00901TDQYZKWDWT8vgfg,EmpAb,,,,
Matched,Empire Rigging,00901NPRMMNQQTI8vgfh,EmpRig,,,,
Matched,"Environmental Marketing Services, LLC",00901CHWUVQFCKY8vd7d,ENVMKT,,,,
