Status,MatchType,VendorName,M2MVendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,Exact,360 Training,360 TRAINING,00901SGZLFZBAYQ8vgj9,360,,false,Bill.com update vendor 00901SGZLFZBAYQ8vgj9 failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,3Chem Corporation,3CHEM,00901GNZBBRSSGU8vgja,3CHEM,,true,,
Matched,Exact,"Abstract Computer Solutions, LLC","ABSTRACT COMPUTER SOLUTIONS, LLC",00901KYAOVNODPN8vd0k,ACSLLC,,true,,
Matched,Exact,Ace Hardware,ACE HARDWARE,00901ATYGGVDXAD8vgjp,ACEHA,,false,Bill.com update vendor 00901ATYGGVDXAD8vgjp failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Aces Systems Division,ACES SYSTEMS DIVISION,00901VFTGATHNPU8vgjq,ACES,,true,,
Matched,Exact,"Acroturn Industries USA, LLC","ACROTURN INDUSTRIES USA, INC",00901CXNUZQMORO8vda1,AIU,,true,,
Matched,Exact,Adrian L. Little,ADRIAN L. LITTLE,00901KZEBCIWRVG8vd0m,ALITT,,true,,
Matched,Exact,Adtec II Tampa,"ADTEC II TAMPA, LLC",00901RZUKRAGBGK8vd0n,ADTEC,,true,,
Matched,Exact,Advance Auto Parts,ADVANCE AUTO PARTS,00901AQKFKTSKZS8vd7q,AAP,,false,Bill.com update vendor 00901AQKFKTSKZS8vd7q failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Advanced Powder Coating LLC,ADVANCED POWDER COATING LLC,00901NOSIIFWODX8vd83,AdvPC,,true,,
Matched,Exact,Alro Plastics,ALRO PLASTICS,00901OHSWHPUZSP8vdbs,ALROP,,true,,
Matched,Exact,Amazon,AMAZON,00901PYBZGFQVCF8vd0t,AMAZ,,true,,
Matched,Exact,Amazon Hose and Rubber Company,AMAZON HOSE AND RUBBER COMPANY,00901JXIYFQNPXX8vd0u,AHRC,,true,,
Matched,Exact,American Machinery Group,"AMERICAN MACHINERY GROUP, LLC.",00901MEXYTQQZVM8vd53,AWP,,true,,
Matched,Exact,"American Metals Supply, Inc.",AMERICAN METALS SUPPLY INC.,00901NLQTYKQEZE8vddm,AMI,,true,,
Matched,Exact,AMT CNC Fabrication,AMT CNC FABRICATION,00901OQEZUBAIMR8vd0q,AMTFAB,,true,,
